year,ppm
1985.537,345.77
1985.6219,346.01
1985.7068,346.22
1985.789,346.08
1985.874,346.32
1985.9562,346.43
1986.0411,346.28
1986.126,346.28
1986.2027,346.44
1986.2877,347.02
1986.3699,347.16
1986.4548,347.22
1986.537,347.15
1986.6219,347.24
1986.7068,348
1986.789,347.46
1986.874,347.74
1986.9562,347.77
1987.0411,348.01
1987.126,347.8
1987.2027,348
1987.2877,348.45
1987.3699,348.79
1987.4548,348.92
1987.537,348.72
1987.6219,349.44
1987.7068,349.6
1987.789,349.66
1987.874,349.9
1987.9562,349.84
1988.041,350.42
1988.1257,351.05
1988.2049,350.77
1988.2896,351.02
1988.3716,351.15
1988.4563,351.47
1988.5383,351.61
1988.623,351.8
1988.7077,351.9
1988.7896,352.19
1988.8743,352.16
1988.9563,352.22
1989.0411,352.74
1989.126,352.39
1989.2027,352.26
1989.2877,352.87
1989.3699,352.59
1989.4548,352.77
1989.537,353.1
1989.6219,353.02
1989.7068,352.98
1989.789,353.31
1989.874,353.4
1989.9562,353.41
1990.0411,353.65
1990.126,354.02
1990.2027,353.96
1990.2877,353.64
1990.3699,354.07
1990.4548,353.87
1990.537,354.01
1990.6219,354.26
1990.7068,354.15
1990.789,354.51
1990.874,354.94
1990.9562,355.1
1991.0411,354.71
1991.126,355.06
1991.2027,355.73
1991.2877,356.03
1991.3699,356.24
1991.4548,355.87
1991.537,355.37
1991.6219,355.38
1991.7068,355.35
1991.789,355.55
1991.874,355.86
1991.9562,355.88
1992.041,355.97
1992.1257,356.04
1992.2049,356.35
1992.2896,356.55
1992.3716,356.55
1992.4563,356.9
1992.5383,356.25
1992.623,356.39
1992.7077,356.22
1992.7896,356.66
1992.8743,356.28
1992.9563,356.29
1993.0411,356.69
1993.126,356.47
1993.2027,356.93
1993.2877,356.88
1993.3699,357.16
1993.4548,357.21
1993.537,356.76
1993.6219,356.88
1993.7068,356.91
1993.789,357.35
1993.874,357.47
1993.9562,357.69
1994.0411,358.35
1994.126,358.22
1994.2027,358.52
1994.2877,358.67
1994.3699,358.56
1994.4548,358.56
1994.537,358.74
1994.6219,358.85
1994.7068,359.07
1994.789,359.37
1994.874,359.72
1994.9562,359.93
1995.0411,359.95
1995.126,360.31
1995.2027,360.19
