Year,Average
1987,38
1988,41.25
1989,44.75
1990,46.4
1991,44.75
1992,42.2
1993,41.93
1994,48.56
1995,48.84
1996,45.74
1997,45.58
1998,49.34
1999,56.31
2000,53.05
2001,51.76
2002,53.09
2003,59.73
2004,56.6
2005,56.77
2006,60.72
2007,56.86
2008,59.87
2009,54.76
2010,52.83
2011,57.98
